# IDs, i, j, k, m, r, m200, r200, m180, r180
6.278598686300000000e+10 3.742000000000000000e+03 1.378000000000000000e+03 3.030000000000000000e+02 1.003570000000000000e+12 1.000000000000000000e+01 7.395243832517680664e+12 1.100000000000000000e+01 1.021582286101998438e+13 1.900000000000000000e+01
4.788390904000000000e+10 2.854000000000000000e+03 4.230000000000000000e+02 1.968000000000000000e+03 1.007400000000000000e+12 1.000000000000000000e+01 7.194556836492110352e+12 1.100000000000000000e+01 9.382838135191236328e+12 1.900000000000000000e+01
3.068555450200000000e+10 1.829000000000000000e+03 6.000000000000000000e+00 1.862000000000000000e+03 1.009150000000000000e+12 1.000000000000000000e+01 6.824085327038093750e+12 1.100000000000000000e+01 9.456339456420548828e+12 1.900000000000000000e+01
3.431662461600000000e+10 2.045000000000000000e+03 1.762000000000000000e+03 7.440000000000000000e+02 1.014050000000000000e+12 1.000000000000000000e+01 7.494107616834969727e+12 1.100000000000000000e+01 1.010363163322557617e+13 1.900000000000000000e+01
4.934210576100000000e+10 2.941000000000000000e+03 7.600000000000000000e+01 2.209000000000000000e+03 1.014560000000000000e+12 9.000000000000000000e+00 6.784526947125189453e+12 1.100000000000000000e+01 9.870500804236671875e+12 1.900000000000000000e+01
4.481477628500000000e+10 2.671000000000000000e+03 6.910000000000000000e+02 2.013000000000000000e+03 1.015400000000000000e+12 1.000000000000000000e+01 7.152335177500203125e+12 1.100000000000000000e+01 9.881948489037898438e+12 1.900000000000000000e+01
3.306219627800000000e+10 1.970000000000000000e+03 2.705000000000000000e+03 1.078000000000000000e+03 1.015410000000000000e+12 9.000000000000000000e+00 7.378895447898524414e+12 1.100000000000000000e+01 9.578047695248744141e+12 1.900000000000000000e+01
3.684374264500000000e+10 2.196000000000000000e+03 2.380000000000000000e+02 1.461000000000000000e+03 1.015630000000000000e+12 1.000000000000000000e+01 6.853664251135859375e+12 1.100000000000000000e+01 9.419956738826816406e+12 1.900000000000000000e+01
3.968090531600000000e+10 2.365000000000000000e+03 6.810000000000000000e+02 1.000000000000000000e+02 1.015820000000000000e+12 1.000000000000000000e+01 4.005069221712817383e+12 9.000000000000000000e+00 6.897343963194251953e+12 1.700000000000000000e+01
4.655778902800000000e+10 2.775000000000000000e+03 2.470000000000000000e+02 2.916000000000000000e+03 1.017690000000000000e+12 1.000000000000000000e+01 6.636494194304625000e+12 1.100000000000000000e+01 9.499000880839380859e+12 1.900000000000000000e+01
2.900530089800000000e+10 1.728000000000000000e+03 3.484000000000000000e+03 1.186000000000000000e+03 1.018340000000000000e+12 1.000000000000000000e+01 6.924094311978406250e+12 1.100000000000000000e+01 9.465142892450121094e+12 1.900000000000000000e+01
6.151843730600000000e+10 3.666000000000000000e+03 3.213000000000000000e+03 3.002000000000000000e+03 1.019130000000000000e+12 9.000000000000000000e+00 7.402949645962955078e+12 1.100000000000000000e+01 9.634192991116720703e+12 1.900000000000000000e+01
8.735863131000000000e+09 5.200000000000000000e+02 2.859000000000000000e+03 3.470000000000000000e+02 1.019980000000000000e+12 1.000000000000000000e+01 7.389775107309121094e+12 1.100000000000000000e+01 1.014131862203792188e+13 1.900000000000000000e+01
1.375233087000000000e+09 8.100000000000000000e+01 3.974000000000000000e+03 1.087000000000000000e+03 1.023160000000000000e+12 1.000000000000000000e+01 7.313681150786625000e+12 1.100000000000000000e+01 1.056587310522591211e+13 1.900000000000000000e+01
5.003206252400000000e+10 2.982000000000000000e+03 5.870000000000000000e+02 6.000000000000000000e+01 1.025330000000000000e+12 9.000000000000000000e+00 7.222728253758937500e+12 1.100000000000000000e+01 9.990099756505005859e+12 1.900000000000000000e+01
3.810374314600000000e+10 2.271000000000000000e+03 6.550000000000000000e+02 2.730000000000000000e+03 1.026510000000000000e+12 9.000000000000000000e+00 7.143445492439032227e+12 1.100000000000000000e+01 9.464301326623523438e+12 1.900000000000000000e+01
1.456512906800000000e+10 8.680000000000000000e+02 6.110000000000000000e+02 2.924000000000000000e+03 1.026670000000000000e+12 9.000000000000000000e+00 5.138591819983224609e+12 1.000000000000000000e+01 7.012140756541553711e+12 1.700000000000000000e+01
2.139447345000000000e+09 1.270000000000000000e+02 2.134000000000000000e+03 4.900000000000000000e+01 1.028130000000000000e+12 1.000000000000000000e+01 6.766307758974901367e+12 1.100000000000000000e+01 9.992340004901791016e+12 1.900000000000000000e+01
2.378879538400000000e+10 1.417000000000000000e+03 3.779000000000000000e+03 1.528000000000000000e+03 1.029810000000000000e+12 8.000000000000000000e+00 6.765495123751054688e+12 1.100000000000000000e+01 9.571689474028324219e+12 1.900000000000000000e+01
1.132067028500000000e+10 6.740000000000000000e+02 3.131000000000000000e+03 2.125000000000000000e+03 1.030250000000000000e+12 9.000000000000000000e+00 7.656319581799157227e+12 1.100000000000000000e+01 9.605501657328544922e+12 1.900000000000000000e+01
4.001557055000000000e+09 2.380000000000000000e+02 2.094000000000000000e+03 2.623000000000000000e+03 1.031090000000000000e+12 1.000000000000000000e+01 7.583145702066695312e+12 1.100000000000000000e+01 9.831909162316183594e+12 1.900000000000000000e+01
2.369692748000000000e+09 1.410000000000000000e+02 1.002000000000000000e+03 1.100000000000000000e+03 1.031450000000000000e+12 9.000000000000000000e+00 7.083561918434732422e+12 1.100000000000000000e+01 9.085379671426830078e+12 1.800000000000000000e+01
4.986647545400000000e+10 2.972000000000000000e+03 1.120000000000000000e+03 1.982000000000000000e+03 1.031480000000000000e+12 1.100000000000000000e+01 7.229914233520385742e+12 1.100000000000000000e+01 1.005805333743439062e+13 1.900000000000000000e+01
1.869687228000000000e+10 1.114000000000000000e+03 1.722000000000000000e+03 3.440000000000000000e+02 1.032350000000000000e+12 9.000000000000000000e+00 7.567919219476926758e+12 1.100000000000000000e+01 9.741948532423361328e+12 1.900000000000000000e+01
3.653358968600000000e+10 2.177000000000000000e+03 2.341000000000000000e+03 1.718000000000000000e+03 1.032580000000000000e+12 8.000000000000000000e+00 7.513357784849895508e+12 1.100000000000000000e+01 9.771401159616111328e+12 1.900000000000000000e+01
